customer_id,avg_balance,balance_volatility,total_inflows,total_withdrawals,withdrawal_frequency,transaction_frequency,merchant_activity,inflow_outflow_ratio,days_low_balance,avg_transaction_amount,liquidity_stress_30d
CUST_00001,4789.81,194.89,5644.51,8227.39,11,29,17,0.686,4,916.12,0
CUST_00002,1427.98,96.23,4756.64,14199.13,3,32,16,0.335,7,258.57,0
CUST_00003,7153.85,53.87,11466.76,8369.28,15,29,10,1.37,4,808.94,1
CUST_00004,8488.85,285.81,9911.82,44489.43,8,39,13,0.223,2,366.62,0
CUST_00005,628.96,616.51,2633.76,22366.49,11,26,14,0.118,3,487.39,1
CUST_00006,1127.82,293.94,19893.39,5108.2,8,19,10,3.894,2,127.21,0
CUST_00007,4084.92,222.15,7514.91,5062.81,8,22,11,1.484,0,198.46,0
CUST_00008,2739.09,68.94,3331.76,9889.63,7,32,18,0.337,4,196.95,1
CUST_00009,3586.31,365.67,20973.76,3254.14,8,35,12,6.443,5,823.4,0
CUST_00010,1689.62,266.43,13366.95,17878.34,10,25,8,0.748,5,251.03,0
CUST_00011,8034.16,332.99,2946.48,9021.45,9,34,17,0.327,4,498.24,1
CUST_00012,7332.07,414.52,33582.03,8250.18,10,29,6,4.07,5,304.3,0
CUST_00013,3863.88,644.71,13725.87,11895.44,9,31,9,1.154,2,249.98,0
CUST_00014,10041.85,74.31,8037.26,28692.91,7,36,12,0.28,2,114.52,0
CUST_00015,5545.59,64.64,28916.71,7671.84,5,36,12,3.769,5,84.33,0
CUST_00016,1680.15,204.08,9204.41,6026.46,6,28,15,1.527,4,253.16,0
CUST_00017,5073.95,86.66,7923.07,23918.6,12,31,13,0.331,5,263.7,0
CUST_00018,1536.11,75.45,4777.92,15099.51,12,26,9,0.316,4,173.47,0
CUST_00019,8027.31,481.1,12906.42,5050.12,10,29,13,2.555,2,355.22,0
CUST_00020,3480.97,80.86,11864.22,6663.56,10,26,17,1.78,3,1268.66,0
CUST_00021,3082.89,179.67,8198.81,7832.79,12,27,11,1.047,3,912.51,0
CUST_00022,1972.71,49.15,4307.06,9023.08,13,24,15,0.477,4,317.15,0
CUST_00023,10941.16,190.65,8990.68,2094.12,14,29,10,4.291,1,324.96,0
CUST_00024,3168.21,466.96,7663.02,1788.06,9,32,10,4.283,3,488.46,0
CUST_00025,2476.26,478.41,2788.39,3120.41,13,23,13,0.893,7,370.61,0
CUST_00026,2652.03,418.21,2496.26,2921.85,8,21,14,0.854,3,489.06,0
CUST_00027,5878.63,170.26,12735.17,3838.16,9,27,11,3.317,6,378.05,1
CUST_00028,5058.88,441.07,1010.79,11378.76,3,31,17,0.089,3,332.9,0
CUST_00029,5278.83,255.72,9550.31,5746.87,7,36,16,1.662,4,197.46,0
CUST_00030,5365.47,127.59,5527.74,7839.54,11,34,20,0.705,6,398.06,0
CUST_00031,25021.3,246.01,23077.13,2343.36,4,21,10,9.844,8,63.4,0
CUST_00032,2525.58,368.17,5460.12,4481.01,8,26,14,1.218,1,371.78,0
CUST_00033,2296.13,62.67,13733.42,10928.93,11,31,13,1.256,5,72.67,1
CUST_00034,1750.41,77.61,5898.59,11000.65,12,30,4,0.536,4,371.99,0
CUST_00035,6338.4,161.6,8875.04,3583.56,13,39,8,2.476,6,155.69,0
CUST_00036,10057.51,68.21,14610.11,7611.48,8,20,16,1.919,4,755.6,1
CUST_00037,3286.07,67.44,5596.83,43002.81,10,26,12,0.13,3,328.82,0
CUST_00038,1709.33,129.48,17984.11,6535.75,7,31,17,2.751,4,309.27,0
CUST_00039,1733.62,400.85,3659.35,3680.45,10,24,10,0.994,2,410.39,0
CUST_00040,6538.96,394.86,10256.58,5723.31,7,33,12,1.792,6,168.72,0
CUST_00041,7107.66,234.36,16951.5,7174.95,10,36,16,2.362,3,677.5,0
CUST_00042,5936.29,209.4,13739.5,5834.28,6,31,14,2.355,2,501.99,0
CUST_00043,2000.28,962.93,37539.76,6459.77,7,25,4,5.81,3,210.11,0
CUST_00044,4487.03,117.74,4399.51,1945.1,11,35,14,2.261,3,147.26,1
CUST_00045,4044.11,219.83,2688.34,2927.09,8,31,15,0.918,4,230.1,0
CUST_00046,4432.95,113.16,3657.49,5843.38,8,30,18,0.626,6,277.17,0
CUST_00047,7976.75,64.72,13743.95,5764.78,19,29,18,2.384,4,139.87,0
CUST_00048,4452.57,467.74,12068.31,4099.99,5,38,10,2.943,2,217.07,0
CUST_00049,6707.77,142.0,8793.83,5707.51,12,27,9,1.54,5,197.53,1
CUST_00050,3869.27,316.04,3299.86,6987.39,4,29,12,0.472,9,259.42,0
CUST_00051,4723.04,148.87,14965.37,14129.24,6,31,10,1.059,3,260.87,0
CUST_00052,6426.33,491.43,3041.9,6097.72,5,23,14,0.499,7,420.59,1
CUST_00053,980.99,81.63,20479.09,9313.66,9,36,14,2.199,3,305.48,1
CUST_00054,2730.65,459.96,79694.09,4186.58,7,22,14,19.031,7,396.01,1
CUST_00055,2384.31,370.69,10863.47,10788.99,9,32,12,1.007,6,355.74,0
CUST_00056,2048.8,43.13,12919.42,9130.45,6,26,10,1.415,5,260.75,0
CUST_00057,2842.31,119.88,5462.78,13848.67,3,23,16,0.394,0,482.32,0
CUST_00058,13980.9,410.21,1904.22,12166.5,15,25,8,0.157,5,43.78,1
CUST_00059,1670.29,671.73,5003.16,10942.67,11,34,8,0.457,7,232.49,1
CUST_00060,8703.24,321.31,3380.18,6101.84,9,29,6,0.554,4,200.44,0
CUST_00061,800.64,131.99,2546.3,8169.79,11,21,12,0.312,7,324.91,0
CUST_00062,2693.52,83.54,32141.01,16382.72,8,30,9,1.962,4,191.71,1
CUST_00063,4215.31,285.24,10079.81,3811.34,8,25,20,2.644,8,438.88,0
CUST_00064,6170.9,128.92,10979.11,3888.79,13,32,11,2.823,4,496.57,0
CUST_00065,6905.71,133.37,6328.27,7740.46,5,22,16,0.817,3,113.43,1
CUST_00066,7435.44,151.51,7056.49,9442.61,9,22,8,0.747,4,349.48,0
CUST_00067,2660.18,367.02,17529.5,3292.85,7,30,13,5.322,4,121.92,0
CUST_00068,2401.58,769.05,7896.15,6225.77,7,33,15,1.268,7,418.12,1
CUST_00069,7880.75,412.2,12388.89,6124.8,10,20,15,2.022,4,215.6,0
CUST_00070,3065.07,182.66,6927.1,1009.3,15,37,11,6.856,3,170.21,0
CUST_00071,1155.03,88.29,6162.75,5504.63,8,28,7,1.119,3,90.26,0
CUST_00072,1312.96,309.23,2629.29,5803.87,14,32,17,0.453,4,280.19,0
CUST_00073,1591.6,687.01,1665.37,5789.21,13,26,9,0.288,2,132.87,1
CUST_00074,5695.57,404.57,6573.16,22104.29,7,41,14,0.297,5,105.8,0
CUST_00075,4138.89,214.04,8477.72,2360.36,9,33,10,3.59,1,340.42,0
CUST_00076,6778.0,122.58,2896.03,3291.41,10,32,8,0.88,3,589.03,1
CUST_00077,2478.66,238.92,7882.66,720.28,12,29,8,10.929,4,393.91,0
CUST_00078,4199.35,456.53,8459.13,4408.2,10,35,17,1.919,6,109.76,0
CUST_00079,6393.46,218.29,1444.03,4739.58,6,23,13,0.305,1,271.58,0
CUST_00080,2756.14,166.88,3896.76,4300.64,9,23,17,0.906,6,481.25,0
CUST_00081,5492.27,104.61,11224.02,17009.47,6,38,15,0.66,7,271.65,0
CUST_00082,2006.74,1438.77,11044.05,13787.6,11,21,19,0.801,10,375.35,0
CUST_00083,2626.09,88.88,3219.75,7088.14,5,20,6,0.454,4,220.06,0
CUST_00084,2582.3,82.54,9198.16,4841.5,8,25,6,1.899,6,228.31,0
CUST_00085,1241.09,206.7,18359.93,15871.2,18,30,6,1.157,5,188.34,0
CUST_00086,5643.59,154.23,15088.05,6523.76,9,30,11,2.312,4,458.71,0
CUST_00087,2386.39,411.02,7508.35,3309.23,12,39,14,2.268,6,479.41,0
CUST_00088,3682.12,422.29,5572.61,1542.54,14,36,10,3.61,4,202.63,0
CUST_00089,5612.05,68.62,4897.72,4559.11,8,24,10,1.074,2,506.95,0
CUST_00090,5441.87,99.04,11781.15,12599.94,11,32,18,0.935,2,110.07,0
CUST_00091,6626.6,89.99,9471.88,45938.46,12,33,10,0.206,2,265.13,1
CUST_00092,3332.12,339.55,13406.88,6990.93,2,18,17,1.917,1,115.87,0
CUST_00093,2487.5,255.36,9004.67,3461.47,16,15,9,2.601,6,135.33,0
CUST_00094,3388.88,134.67,15599.77,2423.04,3,31,8,6.435,3,114.9,0
CUST_00095,797.43,215.53,8740.07,10605.86,4,39,9,0.824,4,188.86,0
CUST_00096,989.89,73.63,15180.26,1480.41,6,33,12,10.247,3,461.2,0
CUST_00097,1107.18,100.08,16263.17,10591.35,12,36,13,1.535,3,282.92,0
CUST_00098,1483.97,64.07,4257.25,13293.82,6,31,15,0.32,5,198.59,1
CUST_00099,5217.62,203.65,1907.38,9612.67,11,31,8,0.198,2,264.69,1
CUST_00100,1611.74,203.03,27855.74,5504.31,8,34,13,5.06,2,70.85,0
CUST_00101,2590.62,82.48,9949.99,10723.57,6,27,16,0.928,7,445.98,0
CUST_00102,11722.97,253.91,2055.78,7671.73,10,28,16,0.268,4,61.97,0
CUST_00103,2642.19,422.29,4577.67,3424.1,12,27,11,1.337,6,182.17,0
CUST_00104,7071.05,79.49,15025.43,31979.5,12,27,9,0.47,2,282.81,0
CUST_00105,1571.43,139.62,6478.59,4920.04,5,21,12,1.317,2,408.25,0
CUST_00106,3026.33,273.39,5379.5,12828.05,5,22,10,0.419,6,353.29,1
CUST_00107,1548.4,180.35,24852.3,849.1,13,28,11,29.235,3,288.69,0
CUST_00108,2683.48,60.48,3505.79,19633.65,8,34,10,0.179,5,829.02,0
CUST_00109,7756.43,127.4,4279.01,23119.9,10,25,8,0.185,9,1224.64,0
CUST_00110,769.25,124.07,9596.07,6804.63,10,26,9,1.41,4,300.35,1
CUST_00111,5382.89,158.17,11074.1,10667.48,15,30,16,1.038,3,278.65,1
CUST_00112,4509.59,163.65,12053.07,10665.16,8,24,15,1.13,2,267.25,1
CUST_00113,2132.96,634.48,16797.59,3841.56,6,30,9,4.371,4,194.88,0
CUST_00114,990.83,153.42,9498.25,10562.38,9,34,20,0.899,4,388.81,0
CUST_00115,3885.15,45.86,11986.15,3336.45,8,33,8,3.591,6,727.84,0
CUST_00116,2260.76,194.98,6585.55,3954.29,10,37,7,1.665,6,52.29,0
CUST_00117,4489.1,733.77,8519.89,17290.31,8,27,11,0.493,4,265.4,0
CUST_00118,3713.27,158.59,8831.03,15191.01,10,39,9,0.581,2,847.27,0
CUST_00119,15391.97,127.68,9624.61,3639.42,6,30,16,2.644,2,393.55,0
CUST_00120,2935.34,142.01,15033.43,3556.24,7,30,12,4.226,8,399.28,0
CUST_00121,1449.32,289.26,12633.62,3832.39,14,37,4,3.296,4,97.45,0
CUST_00122,4278.46,141.53,8394.85,12366.46,12,28,15,0.679,1,488.57,0
CUST_00123,4438.17,53.92,4241.61,2835.61,6,40,14,1.495,4,605.7,0
CUST_00124,12372.96,105.91,8553.85,8984.05,8,25,18,0.952,5,343.76,0
CUST_00125,7720.24,172.13,7923.48,12516.71,10,29,7,0.633,5,188.88,1
CUST_00126,5019.99,278.24,9457.33,6154.82,10,34,9,1.536,3,407.47,0
CUST_00127,13588.41,113.73,47345.18,15655.13,13,30,10,3.024,2,144.53,0
CUST_00128,1249.02,143.03,5329.34,5122.18,8,29,13,1.04,6,131.74,0
CUST_00129,2047.19,187.91,11359.74,5531.55,7,33,14,2.053,4,524.0,0
CUST_00130,1581.43,97.33,19049.0,2890.95,11,26,11,6.587,4,643.59,1
CUST_00131,2563.61,168.44,8763.95,15750.08,11,38,13,0.556,3,177.71,0
CUST_00132,1054.67,263.43,52589.73,3458.04,7,36,10,15.204,3,132.19,0
CUST_00133,6448.71,70.16,5988.33,8931.2,9,26,11,0.67,0,161.66,0
CUST_00134,2980.96,231.64,10501.48,6244.03,11,25,12,1.682,5,343.21,1
CUST_00135,969.01,75.77,4276.78,2711.17,10,36,15,1.577,0,132.3,0
CUST_00136,1459.69,77.0,6116.71,3953.13,7,33,16,1.547,12,734.13,0
CUST_00137,4827.88,106.67,9888.69,21492.12,4,34,19,0.46,7,215.85,0
CUST_00138,7741.21,540.41,15947.28,7874.69,12,29,10,2.025,1,386.22,0
CUST_00139,21961.75,45.96,10459.6,2813.61,8,21,13,3.716,7,177.64,1
CUST_00140,50135.08,125.07,22187.67,8600.1,8,27,6,2.58,2,449.81,0
